name,street,city,state,postalCode,property_type,url,corrected_price,beds,bath,new_floor_size,listed_days,ppsf
"5654 Greeley Pl, Fremont, CA 94538",5654 Greeley Pl,Fremont,CA,94538,House for rent,https://www.zillow.com/homedetails/5654-Greeley-Pl-Fremont-CA-94538/25045013_zpid/,3100.0,3,2,1387.0,1.0,2.235039653929344
"34754 Fairchild Cmn, Fremont, CA 94555",34754 Fairchild Cmn,Fremont,CA,94555,Condo for rent,https://www.zillow.com/homedetails/34754-Fairchild-Cmn-Fremont-CA-94555/25056121_zpid/,3000.0,2,5,1102.0,1.0,2.722323049001815
"3305 Foxtail Ter, Fremont, CA 94536",3305 Foxtail Ter,Fremont,CA,94536,Apartment for rent,https://www.zillow.com/homedetails/3305-Foxtail-Ter-Fremont-CA-94536/79537362_zpid/,1720.0,1,1,593.0,1.0,2.900505902192243
"37451 Willowood Dr, Fremont, CA 94536",37451 Willowood Dr,Fremont,CA,94536,House for rent,https://www.zillow.com/homedetails/37451-Willowood-Dr-Fremont-CA-94536/25006689_zpid/,3100.0,3,2,1167.0,1.0,2.6563838903170525
"4814 Balthazar Ter, Fremont, CA 94555",4814 Balthazar Ter,Fremont,CA,94555,House for rent,https://www.zillow.com/homedetails/4814-Balthazar-Ter-Fremont-CA-94555/25054901_zpid/,3450.0,3,2,1891.0,1.0,1.8244315177154944
"4113 Colby St, Fremont, CA 94538",4113 Colby St,Fremont,CA,94538,House for rent,https://www.zillow.com/homedetails/4113-Colby-St-Fremont-CA-94538/25039127_zpid/,3795.0,4,3,2458.0,1.0,1.5439381611065908
"39700 Banyan Tree Rd, Fremont, CA 94538",39700 Banyan Tree Rd,Fremont,CA,94538,House for rent,https://www.zillow.com/homedetails/39700-Banyan-Tree-Rd-Fremont-CA-94538/25044437_zpid/,3500.0,3,2,1200.0,2.0,2.9166666666666665
"38679 Chrisholm Pl, Fremont, CA 94536",38679 Chrisholm Pl,Fremont,CA,94536,House for rent,https://www.zillow.com/homedetails/38679-Chrisholm-Pl-Fremont-CA-94536/25018111_zpid/,3495.0,4,2,1822.0,2.0,1.9182217343578485
"1898 Olive Ave, Fremont, CA 94539",1898 Olive Ave,Fremont,CA,94539,House for rent,https://www.zillow.com/homedetails/1898-Olive-Ave-Fremont-CA-94539/25034701_zpid/,3800.0,3,2,1479.0,2.0,2.5693035835023665
"3637 Fitzsimmons Cmn, Fremont, CA 94538",3637 Fitzsimmons Cmn,Fremont,CA,94538,House for rent,https://www.zillow.com/homedetails/3637-Fitzsimmons-Cmn-Fremont-CA-94538/25042581_zpid/,3195.0,2,5,1309.0,2.0,2.440794499618029
"41258 Casabella Cmn, Fremont, CA 94539",41258 Casabella Cmn,Fremont,CA,94539,Townhouse for rent,https://www.zillow.com/homedetails/41258-Casabella-Cmn-Fremont-CA-94539/2077717901_zpid/,4600.0,4,3,2092.0,2.0,2.198852772466539
"4745 El Rey Ave, Fremont, CA 94536",4745 El Rey Ave,Fremont,CA,94536,House for rent,https://www.zillow.com/homedetails/4745-El-Rey-Ave-Fremont-CA-94536/25005551_zpid/,3200.0,3,2,1163.0,3.0,2.751504729148753
"5219 Amberwood Dr, Fremont, CA 94555",5219 Amberwood Dr,Fremont,CA,94555,House for rent,https://www.zillow.com/homedetails/5219-Amberwood-Dr-Fremont-CA-94555/25058688_zpid/,3500.0,3,5,1686.0,3.0,2.0759193357058128
"(Undisclosed Address), Fremont, CA 94536",(undisclosed Address),Fremont,CA,94536,House for rent,https://www.zillow.com/homedetails/Fremont-CA-94536/2079138008_zpid/,3950.0,4,3,1494.0,3.0,2.643908969210174
"46750 Winema Cmn, Fremont, CA 94539",46750 Winema Cmn,Fremont,CA,94539,Apartment for rent,https://www.zillow.com/homedetails/46750-Winema-Cmn-Fremont-CA-94539/25026696_zpid/,2700.0,2,2,897.0,3.0,3.0100334448160537
"4648 Rousillon Ave, Fremont, CA 94555",4648 Rousillon Ave,Fremont,CA,94555,House for rent,https://www.zillow.com/homedetails/4648-Rousillon-Ave-Fremont-CA-94555/25055097_zpid/,3300.0,3,5,1517.0,3.0,2.175346077785102
"38780 Tyson Ln Apt 301c, Fremont, CA 94536",38780 Tyson Ln APT 301C,Fremont,CA,94536,Apartment for rent,https://www.zillow.com/homedetails/38780-Tyson-Ln-APT-301C-Fremont-CA-94536/64966632_zpid/,2350.0,1,1,870.0,3.0,2.7011494252873565
"144 Ottawa Way, Fremont, CA 94539",144 Ottawa Way,Fremont,CA,94539,House for rent,https://www.zillow.com/homedetails/144-Ottawa-Way-Fremont-CA-94539/25027833_zpid/,3995.0,4,5,2219.0,3.0,1.800360522757999
"36021 Blair Pl, Fremont, CA 94536",36021 Blair Pl,Fremont,CA,94536,House for rent,https://www.zillow.com/homedetails/36021-Blair-Pl-Fremont-CA-94536/25013545_zpid/,4380.0,3,2,1523.0,4.0,2.875902823374918
"43196 Isle Royal St, Fremont, CA 94538",43196 Isle Royal St,Fremont,CA,94538,House for rent,https://www.zillow.com/homedetails/43196-Isle-Royal-St-Fremont-CA-94538/25039992_zpid/,3795.0,4,5,1810.0,4.0,2.096685082872928
"1945 Barrymore Cmn Apt B, Fremont, CA 94538",1945 Barrymore Cmn APT B,Fremont,CA,94538,Apartment for rent,https://www.zillow.com/homedetails/1945-Barrymore-Cmn-APT-B-Fremont-CA-94538/25019558_zpid/,2588.0,2,2,991.0,4.0,2.6115035317860746
"3762 Union St, Fremont, CA 94538",3762 Union St,Fremont,CA,94538,House for rent,https://www.zillow.com/homedetails/3762-Union-St-Fremont-CA-94538/2077637763_zpid/,2750.0,2,1,1424.4089219330856,4.0,1.9306253686391797
"4095 Eggers Dr, Fremont, CA 94536",4095 Eggers Dr,Fremont,CA,94536,Condo for rent,https://www.zillow.com/homedetails/4095-Eggers-Dr-Fremont-CA-94536/25008522_zpid/,2650.0,2,5,1000.0,4.0,2.65
"39960 Sundale Dr, Fremont, CA 94538",39960 Sundale Dr,Fremont,CA,94538,House for rent,https://www.zillow.com/homedetails/39960-Sundale-Dr-Fremont-CA-94538/2093563713_zpid/,2350.0,2,1,1424.4089219330856,4.0,1.6498071332007536
"(Undisclosed Address), Fremont, CA 94539",(undisclosed Address),Fremont,CA,94539,Townhouse for rent,https://www.zillow.com/homedetails/Fremont-CA-94539/2100869609_zpid/,4000.0,3,5,1987.0,4.0,2.0130850528434827
"632 Heirloom Ter, Fremont, CA 94536",632 Heirloom Ter,Fremont,CA,94536,House for rent,https://www.zillow.com/homedetails/632-Heirloom-Ter-Fremont-CA-94536/25016837_zpid/,3290.0,3,5,1300.0,4.0,2.5307692307692307
"322 Ohlones St #1, Fremont, CA 94539",322 Ohlones St #1,Fremont,CA,94539,Apartment for rent,https://www.zillow.com/homedetails/322-Ohlones-St-1-Fremont-CA-94539/2077645597_zpid/,2700.0,3,1,1002.0,5.0,2.694610778443114
"39525 Blacow Rd, Fremont, CA 94538",39525 Blacow Rd,Fremont,CA,94538,House for rent,https://www.zillow.com/homedetails/39525-Blacow-Rd-Fremont-CA-94538/25044418_zpid/,3000.0,3,2,1249.0,5.0,2.401921537229784
"3226 Red Cedar Ter, Fremont, CA 94536",3226 Red Cedar Ter,Fremont,CA,94536,Apartment for rent,https://www.zillow.com/homedetails/3226-Red-Cedar-Ter-Fremont-CA-94536/79542940_zpid/,2500.0,2,1,750.0,5.0,3.3333333333333335
"4444 Central Ave #ghmjjrrkf, Fremont, CA 94536",4444 Central Ave #GHMJJRRKF,Fremont,CA,94536,Apartment for rent,https://www.zillow.com/homedetails/4444-Central-Ave-GHMJJRRKF-Fremont-CA-94536/2094267816_zpid/,3520.2437275985662,1,1,747.0,5.0,4.712508336812003
"34138 Gannon Ter, Fremont, CA 94555",34138 Gannon Ter,Fremont,CA,94555,House for rent,https://www.zillow.com/homedetails/34138-Gannon-Ter-Fremont-CA-94555/25057604_zpid/,2800.0,2,1,880.0,5.0,3.1818181818181817
"39656 Embarcadero Ter, Fremont, CA 94538",39656 Embarcadero Ter,Fremont,CA,94538,House for rent,https://www.zillow.com/homedetails/39656-Embarcadero-Ter-Fremont-CA-94538/25010752_zpid/,2995.0,3,5,1371.0,5.0,2.1845368344274254
"40232 Davis St, Fremont, CA 94538",40232 Davis St,Fremont,CA,94538,House for rent,https://www.zillow.com/homedetails/40232-Davis-St-Fremont-CA-94538/25036521_zpid/,2800.0,3,2,1107.0,5.0,2.5293586269196027
"34509 Melissa Ter, Fremont, CA 94555",34509 Melissa Ter,Fremont,CA,94555,House for rent,https://www.zillow.com/homedetails/34509-Melissa-Ter-Fremont-CA-94555/25057271_zpid/,2995.0,3,5,1560.0,5.0,1.919871794871795
"37349 Sequoia Rd, Fremont, CA 94536",37349 Sequoia Rd,Fremont,CA,94536,Condo for rent,https://www.zillow.com/homedetails/37349-Sequoia-Rd-Fremont-CA-94536/79534257_zpid/,1750.0,1,1,600.0,5.0,2.9166666666666665
"38228 Paseo Padre Pkwy Apt 18, Fremont, CA 94536",38228 Paseo Padre Pkwy APT 18,Fremont,CA,94536,Apartment for rent,https://www.zillow.com/homedetails/38228-Paseo-Padre-Pkwy-APT-18-Fremont-CA-94536/2082345876_zpid/,1995.0,1,1,750.0,138.0,2.66
"42939 Nido Ct, Fremont, CA 94539",42939 Nido Ct,Fremont,CA,94539,House for rent,https://www.zillow.com/homedetails/42939-Nido-Ct-Fremont-CA-94539/25021639_zpid/,1895.0,1,1,600.0,149.0,3.158333333333333
"36996 Meadowbrook Cmn, Fremont, CA 94536",36996 Meadowbrook Cmn,Fremont,CA,94536,Condo for rent,https://www.zillow.com/homedetails/36996-Meadowbrook-Cmn-Fremont-CA-94536/2079829454_zpid/,2500.0,2,2,1083.0,158.0,2.308402585410896
"38596 Mary Ter, Fremont, CA 94538",38596 Mary Ter,Fremont,CA,94538,Townhouse for rent,https://www.zillow.com/homedetails/38596-Mary-Ter-Fremont-CA-94538/25012425_zpid/,2200.0,2,2,842.0,182.0,2.6128266033254155
"5271 Selma Ave, Fremont, CA 94536",5271 Selma Ave,Fremont,CA,94536,House for rent,https://www.zillow.com/homedetails/5271-Selma-Ave-Fremont-CA-94536/25043405_zpid/,2950.0,3,2,1356.0,267.0,2.1755162241887906
"38080 Martha Ave Ste C, Fremont, CA 94536",38080 Martha Ave STE C,Fremont,CA,94536,Apartment for rent,https://www.zillow.com/homedetails/38080-Martha-Ave-STE-C-Fremont-CA-94536/2081693076_zpid/,2700.0,5,5,996.0,291.0,2.710843373493976
"4008 Mattos Dr, Fremont, CA 94536",4008 Mattos Dr,Fremont,CA,94536,Townhouse for rent,https://www.zillow.com/homedetails/4008-Mattos-Dr-Fremont-CA-94536/2112900722_zpid/,2600.0,3,2,1200.0,347.0,2.1666666666666665
"(Undisclosed Address), Fremont, CA 94538",(undisclosed Address),Fremont,CA,94538,House for rent,https://www.zillow.com/homedetails/Fremont-CA-94538/2087299473_zpid/,3200.0,3,2,1112.0,20.0,2.8776978417266186
"4282 Argonaut Ct, Fremont, CA 94536",4282 Argonaut Ct,Fremont,CA,94536,House for rent,https://www.zillow.com/homedetails/4282-Argonaut-Ct-Fremont-CA-94536/25008626_zpid/,3300.0,3,2,1552.0,21.0,2.1262886597938144
"5664 Impatiens Cmn, Fremont, CA 94538",5664 Impatiens Cmn,Fremont,CA,94538,House for rent,https://www.zillow.com/homedetails/5664-Impatiens-Cmn-Fremont-CA-94538/25045917_zpid/,2750.0,2,5,1157.0,21.0,2.376836646499568
"4101 Eggers Dr, Fremont, CA 94536",4101 Eggers Dr,Fremont,CA,94536,Apartment for rent,https://www.zillow.com/homedetails/4101-Eggers-Dr-Fremont-CA-94536/299071918_zpid/,2250.0,2,5,1008.0,21.0,2.232142857142857
"3461 Pennsylvania Cmn, Fremont, CA 94536",3461 Pennsylvania Cmn,Fremont,CA,94536,Apartment for rent,https://www.zillow.com/homedetails/3461-Pennsylvania-Cmn-Fremont-CA-94536/25012600_zpid/,2575.0,2,2,944.0,22.0,2.7277542372881354
"320-320 Franciscan Ct #14, Fremont, CA 94539",320-320 Franciscan Ct #14,Fremont,CA,94539,Apartment for rent,https://www.zillow.com/homedetails/320-320-Franciscan-Ct-14-Fremont-CA-94539/2077872409_zpid/,1850.0,1,1,650.0,23.0,2.8461538461538463
"37991 Parkmont Dr, Fremont, CA 94536",37991 Parkmont Dr,Fremont,CA,94536,House for rent,https://www.zillow.com/homedetails/37991-Parkmont-Dr-Fremont-CA-94536/25011959_zpid/,3300.0,3,2,1399.0,23.0,2.3588277340957826
"4502 Lodovico Ct, Fremont, CA 94555",4502 Lodovico Ct,Fremont,CA,94555,House for rent,https://www.zillow.com/homedetails/4502-Lodovico-Ct-Fremont-CA-94555/25052574_zpid/,3500.0,4,5,2052.0,23.0,1.7056530214424952
"40796 Mission Blvd, Fremont, CA 94539",40796 Mission Blvd,Fremont,CA,94539,House for rent,https://www.zillow.com/homedetails/40796-Mission-Blvd-Fremont-CA-94539/25033695_zpid/,4100.0,4,2,1896.0,23.0,2.1624472573839664
"5676 Antone Rd, Fremont, CA 94538",5676 Antone Rd,Fremont,CA,94538,House for rent,https://www.zillow.com/homedetails/5676-Antone-Rd-Fremont-CA-94538/25045332_zpid/,3390.0,3,2,1750.0,23.0,1.937142857142857
"24 Crown Ter, Fremont, CA 94536",24 Crown Ter,Fremont,CA,94536,House for rent,https://www.zillow.com/homedetails/24-Crown-Ter-Fremont-CA-94536/25021107_zpid/,3600.0,4,5,1930.0,24.0,1.8652849740932642
"38694 Country Ter, Fremont, CA 94536",38694 Country Ter,Fremont,CA,94536,Apartment for rent,https://www.zillow.com/homedetails/38694-Country-Ter-Fremont-CA-94536/25012526_zpid/,2600.0,2,2,928.0,24.0,2.8017241379310347
"3658 Capitol Ave #319a, Fremont, CA 94538",3658 Capitol Ave #319A,Fremont,CA,94538,Apartment for rent,https://www.zillow.com/homedetails/3658-Capitol-Ave-319A-Fremont-CA-94538/2077882293_zpid/,3650.0,3,2,1317.0,24.0,2.771450265755505
"2238 Dayle Ct, Fremont, CA 94539",2238 Dayle Ct,Fremont,CA,94539,House for rent,https://www.zillow.com/homedetails/2238-Dayle-Ct-Fremont-CA-94539/2077896481_zpid/,3000.0,2,5,1000.0,25.0,3.0
"34694 Siward Dr, Fremont, CA 94555",34694 Siward Dr,Fremont,CA,94555,House for rent,https://www.zillow.com/homedetails/34694-Siward-Dr-Fremont-CA-94555/25056556_zpid/,3600.0,3,5,1446.0,25.0,2.4896265560165975
"4255 Central Ave Apt 4, Fremont, CA 94536",4255 Central Ave APT 4,Fremont,CA,94536,Apartment for rent,https://www.zillow.com/homedetails/4255-Central-Ave-APT-4-Fremont-CA-94536/2101398317_zpid/,2395.0,2,5,1152.0,26.0,2.0789930555555554
"3695 Stevenson Blvd #c131, Fremont, CA 94538",3695 Stevenson Blvd #C131,Fremont,CA,94538,Apartment for rent,https://www.zillow.com/homedetails/3695-Stevenson-Blvd-C131-Fremont-CA-94538/25042020_zpid/,2000.0,1,1,721.0,28.0,2.7739251040221915
"38751 Huntington Cir, Fremont, CA 94536",38751 Huntington Cir,Fremont,CA,94536,House for rent,https://www.zillow.com/homedetails/38751-Huntington-Cir-Fremont-CA-94536/25020495_zpid/,2395.0,2,2,900.0,28.0,2.661111111111111
"3622 Ronald Ct, Fremont, CA 94538",3622 Ronald Ct,Fremont,CA,94538,Apartment for rent,https://www.zillow.com/homedetails/3622-Ronald-Ct-Fremont-CA-94538/25034896_zpid/,2100.0,1,1,1400.0,28.0,1.5
"43112 Starr St, Fremont, CA 94539",43112 Starr St,Fremont,CA,94539,Apartment for rent,https://www.zillow.com/homedetails/43112-Starr-St-Fremont-CA-94539/2078088049_zpid/,2750.0,2,2,1250.0,29.0,2.2
"49002 Cinnamon Fern Cmn Unit 329, Fremont, CA 94539",49002 Cinnamon Fern Cmn UNIT 329,Fremont,CA,94539,Apartment for rent,https://www.zillow.com/homedetails/49002-Cinnamon-Fern-Cmn-UNIT-329-Fremont-CA-94539/94687581_zpid/,2750.0,2,2,1229.0,29.0,2.237591537835639
"137 El Dorado Cmn, Fremont, CA 94539",137 El Dorado Cmn,Fremont,CA,94539,Townhouse for rent,https://www.zillow.com/homedetails/137-El-Dorado-Cmn-Fremont-CA-94539/25031744_zpid/,2900.0,2,1,957.0,30.0,3.0303030303030303
"41413 Timber Creek Ter, Fremont, CA 94539",41413 Timber Creek Ter,Fremont,CA,94539,Townhouse for rent,https://www.zillow.com/homedetails/41413-Timber-Creek-Ter-Fremont-CA-94539/25032909_zpid/,3500.0,3,5,1620.0,30.0,2.1604938271604937
"44129 Glendora Dr, Fremont, CA 94539",44129 Glendora Dr,Fremont,CA,94539,House for rent,https://www.zillow.com/homedetails/44129-Glendora-Dr-Fremont-CA-94539/25023804_zpid/,4295.0,4,3,2254.0,30.0,1.9055013309671696
"33006 Great Salt Lake Dr, Fremont, CA 94555",33006 Great Salt Lake Dr,Fremont,CA,94555,House for rent,https://www.zillow.com/homedetails/33006-Great-Salt-Lake-Dr-Fremont-CA-94555/25048737_zpid/,3195.0,3,2,1160.0,31.0,2.7543103448275863
"48263 Arcadian St, Fremont, CA 94539",48263 Arcadian St,Fremont,CA,94539,House for rent,https://www.zillow.com/homedetails/48263-Arcadian-St-Fremont-CA-94539/25026322_zpid/,3449.0,3,2,1234.0,31.0,2.7949756888168555
"4805 Mallard Cmn, Fremont, CA 94555",4805 Mallard Cmn,Fremont,CA,94555,House for rent,https://www.zillow.com/homedetails/4805-Mallard-Cmn-Fremont-CA-94555/25056450_zpid/,3400.0,3,5,1517.0,31.0,2.2412656558998023
"37466 Parish Cir, Fremont, CA 94536",37466 Parish Cir,Fremont,CA,94536,House for rent,https://www.zillow.com/homedetails/37466-Parish-Cir-Fremont-CA-94536/2077956079_zpid/,2399.0,2,2,942.0,31.0,2.5467091295116773
"4742 Phelan Ave, Fremont, CA 94538",4742 Phelan Ave,Fremont,CA,94538,House for rent,https://www.zillow.com/homedetails/4742-Phelan-Ave-Fremont-CA-94538/25043811_zpid/,3200.0,3,2,1100.0,31.0,2.909090909090909
"33268 Jamie Cir, Fremont, CA 94555",33268 Jamie Cir,Fremont,CA,94555,House for rent,https://www.zillow.com/homedetails/33268-Jamie-Cir-Fremont-CA-94555/25058433_zpid/,3590.0,5,5,2086.0,32.0,1.7209971236816874
"199 Montevideo Cir, Fremont, CA 94539",199 Montevideo Cir,Fremont,CA,94539,House for rent,https://www.zillow.com/homedetails/199-Montevideo-Cir-Fremont-CA-94539/25021630_zpid/,3900.0,3,5,1918.0,32.0,2.0333680917622523
"37306 Spruce Ter, Fremont, CA 94536",37306 Spruce Ter,Fremont,CA,94536,Apartment for rent,https://www.zillow.com/homedetails/37306-Spruce-Ter-Fremont-CA-94536/79539251_zpid/,2300.0,2,2,840.0,32.0,2.738095238095238
"38891 Fremont Blvd Apt 5, Fremont, CA 94536",38891 Fremont Blvd APT 5,Fremont,CA,94536,Apartment for rent,https://www.zillow.com/homedetails/38891-Fremont-Blvd-APT-5-Fremont-CA-94536/2090244220_zpid/,2350.0,2,1,768.0,33.0,3.0598958333333335
"39139 Argonaut Way Apt 210, Fremont, CA 94538",39139 Argonaut Way APT 210,Fremont,CA,94538,Apartment for rent,https://www.zillow.com/homedetails/39139-Argonaut-Way-APT-210-Fremont-CA-94538/25009639_zpid/,2500.0,1,1,1280.0,33.0,1.953125
"3643 Darwin Dr #3643, Fremont, CA 94555",3643 Darwin Dr #3643,Fremont,CA,94555,Apartment for rent,https://www.zillow.com/homedetails/3643-Darwin-Dr-3643-Fremont-CA-94555/2077989124_zpid/,3850.0,5,4,1900.0,33.0,2.026315789473684
"39219 Guardino Dr Apt 261, Fremont, CA 94538",39219 Guardino Dr APT 261,Fremont,CA,94538,Apartment for rent,https://www.zillow.com/homedetails/39219-Guardino-Dr-APT-261-Fremont-CA-94538/64966509_zpid/,2395.0,2,1,844.0,33.0,2.8376777251184833
"43249 Gallegos Ave, Fremont, CA 94539",43249 Gallegos Ave,Fremont,CA,94539,House for rent,https://www.zillow.com/homedetails/43249-Gallegos-Ave-Fremont-CA-94539/25022561_zpid/,3000.0,3,2,1447.0,34.0,2.073255010366275
"2199 Hunter Pl, Santa Clara, CA 95054",2199 Hunter Pl,Santa Clara,CA,95054,House for rent,https://www.zillow.com/homedetails/2199-Hunter-Pl-Santa-Clara-CA-95054/19492008_zpid/,3950.0,4,5,1796.0,66.0,2.1993318485523385
"272 Hayes Ave #a, Santa Clara, CA 95051",272 Hayes Ave #A,Santa Clara,CA,95051,Apartment for rent,https://www.zillow.com/homedetails/272-Hayes-Ave-A-Santa-Clara-CA-95051/2086197420_zpid/,2900.0,2,2,1244.0,68.0,2.3311897106109325
"2540 Robinson Ave #2yxeuq4r0, Santa Clara, CA 95051",2540 Robinson Ave #2YXEUQ4R0,Santa Clara,CA,95051,Apartment for rent,https://www.zillow.com/homedetails/2540-Robinson-Ave-2YXEUQ4R0-Santa-Clara-CA-95051/2078460923_zpid/,3520.2437275985662,1,1,550.0,68.0,6.400443141088302
"560 Lincoln St, Santa Clara, CA 95050",560 Lincoln St,Santa Clara,CA,95050,Apartment for rent,https://www.zillow.com/homedetails/560-Lincoln-St-Santa-Clara-CA-95050/2080574333_zpid/,2000.0,1,1,650.0,68.0,3.076923076923077
"4240 Bassett St, Santa Clara, CA 95054",4240 Bassett St,Santa Clara,CA,95054,House for rent,https://www.zillow.com/homedetails/4240-Bassett-St-Santa-Clara-CA-95054/19490480_zpid/,2750.0,2,2,900.0,68.0,3.0555555555555554
"660 Harvard Ave Apt 58, Santa Clara, CA 95051",660 Harvard Ave APT 58,Santa Clara,CA,95051,Apartment for rent,https://www.zillow.com/homedetails/660-Harvard-Ave-APT-58-Santa-Clara-CA-95051/2082786452_zpid/,1595.0,1,1,420.0,70.0,3.7976190476190474
"1437 Homestead Rd, Santa Clara, CA 95050",1437 Homestead Rd,Santa Clara,CA,95050,Apartment for rent,https://www.zillow.com/homedetails/1437-Homestead-Rd-Santa-Clara-CA-95050/2086071486_zpid/,1850.0,1,1,542.0,70.0,3.4132841328413286
"1630 Avina Cir Unit 3, Santa Clara, CA 95054",1630 Avina Cir UNIT 3,Santa Clara,CA,95054,Townhouse for rent,https://www.zillow.com/homedetails/1630-Avina-Cir-UNIT-3-Santa-Clara-CA-95054/94701419_zpid/,3650.0,3,3,1645.0,73.0,2.2188449848024314
"509 Saratoga Ave #8, Santa Clara, CA 95050",509 Saratoga Ave #8,Santa Clara,CA,95050,Apartment for rent,https://www.zillow.com/homedetails/509-Saratoga-Ave-8-Santa-Clara-CA-95050/2078535913_zpid/,1895.0,1,1,700.0,74.0,2.7071428571428573
"1720 Halford Ave Apt 133, Santa Clara, CA 95051",1720 Halford Ave APT 133,Santa Clara,CA,95051,Apartment for rent,https://www.zillow.com/homedetails/1720-Halford-Ave-APT-133-Santa-Clara-CA-95051/19551031_zpid/,3000.0,1,1,700.0,75.0,4.285714285714286
"4109 Crandall Cir, Santa Clara, CA 95054",4109 Crandall Cir,Santa Clara,CA,95054,Townhouse for rent,https://www.zillow.com/homedetails/4109-Crandall-Cir-Santa-Clara-CA-95054/64755757_zpid/,3895.0,3,5,1716.0,76.0,2.26981351981352
"1800 Civic Center Dr #jkp7gqjrr, Santa Clara, CA 95050",1800 Civic Center Dr #JKP7GQJRR,Santa Clara,CA,95050,Apartment for rent,https://www.zillow.com/homedetails/1800-Civic-Center-Dr-JKP7GQJRR-Santa-Clara-CA-95050/2078614640_zpid/,3520.2437275985662,1,1,700.0,78.0,5.028919610855095
"3587 Agate Dr #214, Santa Clara, CA 95051",3587 Agate Dr #214,Santa Clara,CA,95051,Apartment for rent,https://www.zillow.com/homedetails/3587-Agate-Dr-214-Santa-Clara-CA-95051/2079642934_zpid/,3690.0,2,2,1050.0,83.0,3.5142857142857142
"(Undisclosed Address), Santa Clara, CA 95054",(undisclosed Address),Santa Clara,CA,95054,House for rent,https://www.zillow.com/homedetails/Santa-Clara-CA-95054/2078823953_zpid/,3395.0,3,2,1200.0,93.0,2.8291666666666666
"3137 Allen Way, Santa Clara, CA 95051",3137 Allen Way,Santa Clara,CA,95051,House for rent,https://www.zillow.com/homedetails/3137-Allen-Way-Santa-Clara-CA-95051/19601642_zpid/,4300.0,4,3,1777.0,95.0,2.4198086662915026
"2174 Royal Dr Apt 3, Santa Clara, CA 95050",2174 Royal Dr APT 3,Santa Clara,CA,95050,Apartment for rent,https://www.zillow.com/homedetails/2174-Royal-Dr-APT-3-Santa-Clara-CA-95050/2100959615_zpid/,2075.0,1,1,1424.4089219330856,96.0,1.4567445963368357
"3493 Geneva Dr, Santa Clara, CA 95051",3493 Geneva Dr,Santa Clara,CA,95051,House for rent,https://www.zillow.com/homedetails/3493-Geneva-Dr-Santa-Clara-CA-95051/19601326_zpid/,4000.0,3,2,1420.0,96.0,2.816901408450704
