name,street,city,state,postalCode,floorSize,price,type_of_house,property_type,no_of_days,url
"3305 Foxtail Ter, Fremont, CA 94536",3305 Foxtail Ter,Fremont,CA,94536,593,"$1,720/mo",1 bd1 ba593 sqft,Apartment for rent,1 day ago,https://www.zillow.com/homedetails/3305-Foxtail-Ter-Fremont-CA-94536/79537362_zpid/
"37451 Willowood Dr, Fremont, CA 94536",37451 Willowood Dr,Fremont,CA,94536,"1,167","$3,100/mo","3 bds2 ba1,167 sqft",House for rent,1 day ago,https://www.zillow.com/homedetails/37451-Willowood-Dr-Fremont-CA-94536/25006689_zpid/
"4814 Balthazar Ter, Fremont, CA 94555",4814 Balthazar Ter,Fremont,CA,94555,"1,891","$3,450/mo","3 bds2 ba1,891 sqft",House for rent,1 day ago,https://www.zillow.com/homedetails/4814-Balthazar-Ter-Fremont-CA-94555/25054901_zpid/
"4113 Colby St, Fremont, CA 94538",4113 Colby St,Fremont,CA,94538,"2,458","$3,795/mo","4 bds3 ba2,458 sqft",House for rent,1 day ago,https://www.zillow.com/homedetails/4113-Colby-St-Fremont-CA-94538/25039127_zpid/
"39700 Banyan Tree Rd, Fremont, CA 94538",39700 Banyan Tree Rd,Fremont,CA,94538,"1,200","$3,500/mo","3 bds2 ba1,200 sqft",House for rent,2 days ago,https://www.zillow.com/homedetails/39700-Banyan-Tree-Rd-Fremont-CA-94538/25044437_zpid/
"38679 Chrisholm Pl, Fremont, CA 94536",38679 Chrisholm Pl,Fremont,CA,94536,"1,822","$3,495/mo","4 bds2 ba1,822 sqft",House for rent,2 days ago,https://www.zillow.com/homedetails/38679-Chrisholm-Pl-Fremont-CA-94536/25018111_zpid/
"1898 Olive Ave, Fremont, CA 94539",1898 Olive Ave,Fremont,CA,94539,"1,479","$3,800/mo","3 bds2 ba1,479 sqft",House for rent,2 days ago,https://www.zillow.com/homedetails/1898-Olive-Ave-Fremont-CA-94539/25034701_zpid/
"3637 Fitzsimmons Cmn, Fremont, CA 94538",3637 Fitzsimmons Cmn,Fremont,CA,94538,"1,309","$3,195/mo","2 bds2.5 ba1,309 sqft",House for rent,2 days ago,https://www.zillow.com/homedetails/3637-Fitzsimmons-Cmn-Fremont-CA-94538/25042581_zpid/
"41258 Casabella Cmn, Fremont, CA 94539",41258 Casabella Cmn,Fremont,CA,94539,"2,092","$4,600/mo","4 bds3 ba2,092 sqft",Townhouse for rent,2 days ago,https://www.zillow.com/homedetails/41258-Casabella-Cmn-Fremont-CA-94539/2077717901_zpid/
"4745 El Rey Ave, Fremont, CA 94536",4745 El Rey Ave,Fremont,CA,94536,"1,163","$3,200/mo","3 bds2 ba1,163 sqft",House for rent,3 days ago,https://www.zillow.com/homedetails/4745-El-Rey-Ave-Fremont-CA-94536/25005551_zpid/
"5219 Amberwood Dr, Fremont, CA 94555",5219 Amberwood Dr,Fremont,CA,94555,"1,686","$3,500/mo","3 bds2.5 ba1,686 sqft",House for rent,3 days ago,https://www.zillow.com/homedetails/5219-Amberwood-Dr-Fremont-CA-94555/25058688_zpid/
"(Undisclosed Address), Fremont, CA 94536",(undisclosed Address),Fremont,CA,94536,"1,494","$3,950/mo","4 bds3 ba1,494 sqft",House for rent,3 days ago,https://www.zillow.com/homedetails/Fremont-CA-94536/2079138008_zpid/
"46750 Winema Cmn, Fremont, CA 94539",46750 Winema Cmn,Fremont,CA,94539,897,"$2,700/mo",2 bds2 ba897 sqft,Apartment for rent,3 days ago,https://www.zillow.com/homedetails/46750-Winema-Cmn-Fremont-CA-94539/25026696_zpid/
"4648 Rousillon Ave, Fremont, CA 94555",4648 Rousillon Ave,Fremont,CA,94555,"1,517","$3,300/mo","3 bds2.5 ba1,517 sqft",House for rent,3 days ago,https://www.zillow.com/homedetails/4648-Rousillon-Ave-Fremont-CA-94555/25055097_zpid/
"38780 Tyson Ln Apt 301c, Fremont, CA 94536",38780 Tyson Ln APT 301C,Fremont,CA,94536,870,"$2,350/mo",1 bd1 ba870 sqft,Apartment for rent,3 days ago,https://www.zillow.com/homedetails/38780-Tyson-Ln-APT-301C-Fremont-CA-94536/64966632_zpid/
"144 Ottawa Way, Fremont, CA 94539",144 Ottawa Way,Fremont,CA,94539,"2,219","$3,995/mo","4 bds2.5 ba2,219 sqft",House for rent,3 days ago,https://www.zillow.com/homedetails/144-Ottawa-Way-Fremont-CA-94539/25027833_zpid/
"36021 Blair Pl, Fremont, CA 94536",36021 Blair Pl,Fremont,CA,94536,"1,523","$4,380/mo","3 bds2 ba1,523 sqft",House for rent,4 days ago,https://www.zillow.com/homedetails/36021-Blair-Pl-Fremont-CA-94536/25013545_zpid/
"43196 Isle Royal St, Fremont, CA 94538",43196 Isle Royal St,Fremont,CA,94538,"1,810","$3,795/mo","4 bds2.5 ba1,810 sqft",House for rent,4 days ago,https://www.zillow.com/homedetails/43196-Isle-Royal-St-Fremont-CA-94538/25039992_zpid/
"1945 Barrymore Cmn Apt B, Fremont, CA 94538",1945 Barrymore Cmn APT B,Fremont,CA,94538,991,"$2,588/mo",2 bds2 ba991 sqft,Apartment for rent,4 days ago,https://www.zillow.com/homedetails/1945-Barrymore-Cmn-APT-B-Fremont-CA-94538/25019558_zpid/
"3762 Union St, Fremont, CA 94538",3762 Union St,Fremont,CA,94538,,"$2,750/mo",2 bds1 ba-- sqft,House for rent,4 days ago,https://www.zillow.com/homedetails/3762-Union-St-Fremont-CA-94538/2077637763_zpid/
"4095 Eggers Dr, Fremont, CA 94536",4095 Eggers Dr,Fremont,CA,94536,"1,000","$2,650/mo","2 bds1.5 ba1,000 sqft",Condo for rent,4 days ago,https://www.zillow.com/homedetails/4095-Eggers-Dr-Fremont-CA-94536/25008522_zpid/
"39960 Sundale Dr, Fremont, CA 94538",39960 Sundale Dr,Fremont,CA,94538,,"$2,350/mo",2 bds1 ba-- sqft,House for rent,4 days ago,https://www.zillow.com/homedetails/39960-Sundale-Dr-Fremont-CA-94538/2093563713_zpid/
"(Undisclosed Address), Fremont, CA 94539",(undisclosed Address),Fremont,CA,94539,"1,987","$4,000/mo","3 bds2.5 ba1,987 sqft",Townhouse for rent,4 days ago,https://www.zillow.com/homedetails/Fremont-CA-94539/2100869609_zpid/
"632 Heirloom Ter, Fremont, CA 94536",632 Heirloom Ter,Fremont,CA,94536,"1,300","$3,290/mo","3 bds2.5 ba1,300 sqft",House for rent,4 days ago,https://www.zillow.com/homedetails/632-Heirloom-Ter-Fremont-CA-94536/25016837_zpid/
"322 Ohlones St #1, Fremont, CA 94539",322 Ohlones St #1,Fremont,CA,94539,"1,002","$2,700/mo","3 bds1 ba1,002 sqft",Apartment for rent,5 days ago,https://www.zillow.com/homedetails/322-Ohlones-St-1-Fremont-CA-94539/2077645597_zpid/
"39525 Blacow Rd, Fremont, CA 94538",39525 Blacow Rd,Fremont,CA,94538,"1,249","$3,000/mo","3 bds2 ba1,249 sqft",House for rent,5 days ago,https://www.zillow.com/homedetails/39525-Blacow-Rd-Fremont-CA-94538/25044418_zpid/
"3226 Red Cedar Ter, Fremont, CA 94536",3226 Red Cedar Ter,Fremont,CA,94536,750,"$2,500/mo",2 bds1 ba750 sqft,Apartment for rent,5 days ago,https://www.zillow.com/homedetails/3226-Red-Cedar-Ter-Fremont-CA-94536/79542940_zpid/
"4444 Central Ave #ghmjjrrkf, Fremont, CA 94536",4444 Central Ave #GHMJJRRKF,Fremont,CA,94536,747,"$2,145+/mo",1 bd1 ba747 sqft,Apartment for rent,,https://www.zillow.com/homedetails/4444-Central-Ave-GHMJJRRKF-Fremont-CA-94536/2094267816_zpid/
"34138 Gannon Ter, Fremont, CA 94555",34138 Gannon Ter,Fremont,CA,94555,880,"$2,800/mo",2 bds1 ba880 sqft,House for rent,5 days ago,https://www.zillow.com/homedetails/34138-Gannon-Ter-Fremont-CA-94555/25057604_zpid/
"39656 Embarcadero Ter, Fremont, CA 94538",39656 Embarcadero Ter,Fremont,CA,94538,"1,371","$2,995/mo","3 bds2.5 ba1,371 sqft",House for rent,5 days ago,https://www.zillow.com/homedetails/39656-Embarcadero-Ter-Fremont-CA-94538/25010752_zpid/
"40232 Davis St, Fremont, CA 94538",40232 Davis St,Fremont,CA,94538,"1,107","$2,800/mo","3 bds2 ba1,107 sqft",House for rent,5 days ago,https://www.zillow.com/homedetails/40232-Davis-St-Fremont-CA-94538/25036521_zpid/
"34509 Melissa Ter, Fremont, CA 94555",34509 Melissa Ter,Fremont,CA,94555,"1,560","$2,995/mo","3 bds2.5 ba1,560 sqft",House for rent,5 days ago,https://www.zillow.com/homedetails/34509-Melissa-Ter-Fremont-CA-94555/25057271_zpid/
"37349 Sequoia Rd, Fremont, CA 94536",37349 Sequoia Rd,Fremont,CA,94536,600,"$1,750/mo",1 bd1 ba600 sqft,Condo for rent,5 days ago,https://www.zillow.com/homedetails/37349-Sequoia-Rd-Fremont-CA-94536/79534257_zpid/
"38228 Paseo Padre Pkwy Apt 18, Fremont, CA 94536",38228 Paseo Padre Pkwy APT 18,Fremont,CA,94536,750,"$1,995/mo",1 bd1 ba750 sqft,Apartment for rent,138 days ago,https://www.zillow.com/homedetails/38228-Paseo-Padre-Pkwy-APT-18-Fremont-CA-94536/2082345876_zpid/
"42939 Nido Ct, Fremont, CA 94539",42939 Nido Ct,Fremont,CA,94539,600,"$1,895/mo",Studio1 ba600 sqft,House for rent,149 days ago,https://www.zillow.com/homedetails/42939-Nido-Ct-Fremont-CA-94539/25021639_zpid/
"36996 Meadowbrook Cmn, Fremont, CA 94536",36996 Meadowbrook Cmn,Fremont,CA,94536,"1,083","$2,500/mo","2 bds2 ba1,083 sqft",Condo for rent,158 days ago,https://www.zillow.com/homedetails/36996-Meadowbrook-Cmn-Fremont-CA-94536/2079829454_zpid/
"38596 Mary Ter, Fremont, CA 94538",38596 Mary Ter,Fremont,CA,94538,842,"$2,200/mo",2 bds2 ba842 sqft,Townhouse for rent,182 days ago,https://www.zillow.com/homedetails/38596-Mary-Ter-Fremont-CA-94538/25012425_zpid/
"5271 Selma Ave, Fremont, CA 94536",5271 Selma Ave,Fremont,CA,94536,"1,356","$2,950/mo","3 bds2 ba1,356 sqft",House for rent,267 days ago,https://www.zillow.com/homedetails/5271-Selma-Ave-Fremont-CA-94536/25043405_zpid/
"38080 Martha Ave Ste C, Fremont, CA 94536",38080 Martha Ave STE C,Fremont,CA,94536,996,"$2,700/mo",Studio1.5 ba996 sqft,Apartment for rent,291 days ago,https://www.zillow.com/homedetails/38080-Martha-Ave-STE-C-Fremont-CA-94536/2081693076_zpid/
"4008 Mattos Dr, Fremont, CA 94536",4008 Mattos Dr,Fremont,CA,94536,"1,200","$2,600/mo","3 bds2 ba1,200 sqft",Townhouse for rent,347 days ago,https://www.zillow.com/homedetails/4008-Mattos-Dr-Fremont-CA-94536/2112900722_zpid/
"(Undisclosed Address), Fremont, CA 94538",(undisclosed Address),Fremont,CA,94538,"1,112","$3,200/mo","3 bds2 ba1,112 sqft",House for rent,20 days ago,https://www.zillow.com/homedetails/Fremont-CA-94538/2087299473_zpid/
"4282 Argonaut Ct, Fremont, CA 94536",4282 Argonaut Ct,Fremont,CA,94536,"1,552","$3,300/mo","3 bds2 ba1,552 sqft",House for rent,21 days ago,https://www.zillow.com/homedetails/4282-Argonaut-Ct-Fremont-CA-94536/25008626_zpid/
"5664 Impatiens Cmn, Fremont, CA 94538",5664 Impatiens Cmn,Fremont,CA,94538,"1,157","$2,750/mo","2 bds2.5 ba1,157 sqft",House for rent,21 days ago,https://www.zillow.com/homedetails/5664-Impatiens-Cmn-Fremont-CA-94538/25045917_zpid/
"4101 Eggers Dr, Fremont, CA 94536",4101 Eggers Dr,Fremont,CA,94536,"1,008","$2,250/mo","2 bds1.5 ba1,008 sqft",Apartment for rent,21 days ago,https://www.zillow.com/homedetails/4101-Eggers-Dr-Fremont-CA-94536/299071918_zpid/
"3461 Pennsylvania Cmn, Fremont, CA 94536",3461 Pennsylvania Cmn,Fremont,CA,94536,944,"$2,575/mo",2 bds2 ba944 sqft,Apartment for rent,22 days ago,https://www.zillow.com/homedetails/3461-Pennsylvania-Cmn-Fremont-CA-94536/25012600_zpid/
"320-320 Franciscan Ct #14, Fremont, CA 94539",320-320 Franciscan Ct #14,Fremont,CA,94539,650,"$1,850/mo",1 bd1 ba650 sqft,Apartment for rent,23 days ago,https://www.zillow.com/homedetails/320-320-Franciscan-Ct-14-Fremont-CA-94539/2077872409_zpid/
"37991 Parkmont Dr, Fremont, CA 94536",37991 Parkmont Dr,Fremont,CA,94536,"1,399","$3,300/mo","3 bds2 ba1,399 sqft",House for rent,23 days ago,https://www.zillow.com/homedetails/37991-Parkmont-Dr-Fremont-CA-94536/25011959_zpid/
"4502 Lodovico Ct, Fremont, CA 94555",4502 Lodovico Ct,Fremont,CA,94555,"2,052","$3,500/mo","4 bds2.5 ba2,052 sqft",House for rent,23 days ago,https://www.zillow.com/homedetails/4502-Lodovico-Ct-Fremont-CA-94555/25052574_zpid/
"40796 Mission Blvd, Fremont, CA 94539",40796 Mission Blvd,Fremont,CA,94539,"1,896","$4,100/mo","4 bds2 ba1,896 sqft",House for rent,23 days ago,https://www.zillow.com/homedetails/40796-Mission-Blvd-Fremont-CA-94539/25033695_zpid/
"5676 Antone Rd, Fremont, CA 94538",5676 Antone Rd,Fremont,CA,94538,"1,750","$3,390/mo","3 bds2 ba1,750 sqft",House for rent,23 days ago,https://www.zillow.com/homedetails/5676-Antone-Rd-Fremont-CA-94538/25045332_zpid/
"24 Crown Ter, Fremont, CA 94536",24 Crown Ter,Fremont,CA,94536,"1,930","$3,600/mo","4 bds2.5 ba1,930 sqft",House for rent,24 days ago,https://www.zillow.com/homedetails/24-Crown-Ter-Fremont-CA-94536/25021107_zpid/
"38694 Country Ter, Fremont, CA 94536",38694 Country Ter,Fremont,CA,94536,928,"$2,600/mo",2 bds2 ba928 sqft,Apartment for rent,24 days ago,https://www.zillow.com/homedetails/38694-Country-Ter-Fremont-CA-94536/25012526_zpid/
"3658 Capitol Ave #319a, Fremont, CA 94538",3658 Capitol Ave #319A,Fremont,CA,94538,"1,317","$3,650/mo","3 bds2 ba1,317 sqft",Apartment for rent,24 days ago,https://www.zillow.com/homedetails/3658-Capitol-Ave-319A-Fremont-CA-94538/2077882293_zpid/
"2238 Dayle Ct, Fremont, CA 94539",2238 Dayle Ct,Fremont,CA,94539,"1,000","$3,000/mo","2 bds1.5 ba1,000 sqft",House for rent,25 days ago,https://www.zillow.com/homedetails/2238-Dayle-Ct-Fremont-CA-94539/2077896481_zpid/
"34694 Siward Dr, Fremont, CA 94555",34694 Siward Dr,Fremont,CA,94555,"1,446","$3,600/mo","3 bds2.5 ba1,446 sqft",House for rent,25 days ago,https://www.zillow.com/homedetails/34694-Siward-Dr-Fremont-CA-94555/25056556_zpid/
"4255 Central Ave Apt 4, Fremont, CA 94536",4255 Central Ave APT 4,Fremont,CA,94536,"1,152","$2,395/mo","2 bds1.5 ba1,152 sqft",Apartment for rent,26 days ago,https://www.zillow.com/homedetails/4255-Central-Ave-APT-4-Fremont-CA-94536/2101398317_zpid/
"39984 E Las Palmas Ct, Fremont, CA 94539",39984 E Las Palmas Ct,Fremont,CA,94539,"2,800","$5,500/mo","5 bds3 ba2,800 sqft",House for rent,27 days ago,https://www.zillow.com/homedetails/39984-E-Las-Palmas-Ct-Fremont-CA-94539/25033984_zpid/
"3695 Stevenson Blvd #c131, Fremont, CA 94538",3695 Stevenson Blvd #C131,Fremont,CA,94538,721,"$2,000/mo",1 bd1 ba721 sqft,Apartment for rent,28 days ago,https://www.zillow.com/homedetails/3695-Stevenson-Blvd-C131-Fremont-CA-94538/25042020_zpid/
"38751 Huntington Cir, Fremont, CA 94536",38751 Huntington Cir,Fremont,CA,94536,900,"$2,395/mo",2 bds2 ba900 sqft,House for rent,3D Homes Icon3D Home,https://www.zillow.com/homedetails/38751-Huntington-Cir-Fremont-CA-94536/25020495_zpid/
"3622 Ronald Ct, Fremont, CA 94538",3622 Ronald Ct,Fremont,CA,94538,"1,400","$2,100/mo","1 bd1 ba1,400 sqft",Apartment for rent,28 days ago,https://www.zillow.com/homedetails/3622-Ronald-Ct-Fremont-CA-94538/25034896_zpid/
"43112 Starr St, Fremont, CA 94539",43112 Starr St,Fremont,CA,94539,"1,250","$2,750/mo","2 bds2 ba1,250 sqft",Apartment for rent,29 days ago,https://www.zillow.com/homedetails/43112-Starr-St-Fremont-CA-94539/2078088049_zpid/
"49002 Cinnamon Fern Cmn Unit 329, Fremont, CA 94539",49002 Cinnamon Fern Cmn UNIT 329,Fremont,CA,94539,"1,229","$2,750/mo","2 bds2 ba1,229 sqft",Apartment for rent,Play video iconVideo Walkthrough,https://www.zillow.com/homedetails/49002-Cinnamon-Fern-Cmn-UNIT-329-Fremont-CA-94539/94687581_zpid/
"137 El Dorado Cmn, Fremont, CA 94539",137 El Dorado Cmn,Fremont,CA,94539,957,"$2,900/mo",2 bds1 ba957 sqft,Townhouse for rent,30 days ago,https://www.zillow.com/homedetails/137-El-Dorado-Cmn-Fremont-CA-94539/25031744_zpid/
"41413 Timber Creek Ter, Fremont, CA 94539",41413 Timber Creek Ter,Fremont,CA,94539,"1,620","$3,500/mo","3 bds2.5 ba1,620 sqft",Townhouse for rent,30 days ago,https://www.zillow.com/homedetails/41413-Timber-Creek-Ter-Fremont-CA-94539/25032909_zpid/
"44129 Glendora Dr, Fremont, CA 94539",44129 Glendora Dr,Fremont,CA,94539,"2,254","$4,295/mo","4 bds3 ba2,254 sqft",House for rent,30 days ago,https://www.zillow.com/homedetails/44129-Glendora-Dr-Fremont-CA-94539/25023804_zpid/
"33006 Great Salt Lake Dr, Fremont, CA 94555",33006 Great Salt Lake Dr,Fremont,CA,94555,"1,160","$3,195/mo","3 bds2 ba1,160 sqft",House for rent,31 days ago,https://www.zillow.com/homedetails/33006-Great-Salt-Lake-Dr-Fremont-CA-94555/25048737_zpid/
"48263 Arcadian St, Fremont, CA 94539",48263 Arcadian St,Fremont,CA,94539,"1,234","$3,449/mo","3 bds2 ba1,234 sqft",House for rent,31 days ago,https://www.zillow.com/homedetails/48263-Arcadian-St-Fremont-CA-94539/25026322_zpid/
"4805 Mallard Cmn, Fremont, CA 94555",4805 Mallard Cmn,Fremont,CA,94555,"1,517","$3,400/mo","3 bds2.5 ba1,517 sqft",House for rent,31 days ago,https://www.zillow.com/homedetails/4805-Mallard-Cmn-Fremont-CA-94555/25056450_zpid/
"1655 Sioux Dr, Fremont, CA 94539",1655 Sioux Dr,Fremont,CA,94539,"2,900","$4,999/mo","4 bds3 ba2,900 sqft",House for rent,31 days ago,https://www.zillow.com/homedetails/1655-Sioux-Dr-Fremont-CA-94539/25028441_zpid/
"37466 Parish Cir, Fremont, CA 94536",37466 Parish Cir,Fremont,CA,94536,942,"$2,399/mo",2 bds2 ba942 sqft,House for rent,31 days ago,https://www.zillow.com/homedetails/37466-Parish-Cir-Fremont-CA-94536/2077956079_zpid/
"4742 Phelan Ave, Fremont, CA 94538",4742 Phelan Ave,Fremont,CA,94538,"1,100","$3,200/mo","3 bds2 ba1,100 sqft",House for rent,31 days ago,https://www.zillow.com/homedetails/4742-Phelan-Ave-Fremont-CA-94538/25043811_zpid/
"33268 Jamie Cir, Fremont, CA 94555",33268 Jamie Cir,Fremont,CA,94555,"2,086","$3,590/mo","5 bds2.5 ba2,086 sqft",House for rent,32 days ago,https://www.zillow.com/homedetails/33268-Jamie-Cir-Fremont-CA-94555/25058433_zpid/
"199 Montevideo Cir, Fremont, CA 94539",199 Montevideo Cir,Fremont,CA,94539,"1,918","$3,900/mo","3 bds2.5 ba1,918 sqft",House for rent,32 days ago,https://www.zillow.com/homedetails/199-Montevideo-Cir-Fremont-CA-94539/25021630_zpid/
"37306 Spruce Ter, Fremont, CA 94536",37306 Spruce Ter,Fremont,CA,94536,840,"$2,300/mo",2 bds2 ba840 sqft,Apartment for rent,32 days ago,https://www.zillow.com/homedetails/37306-Spruce-Ter-Fremont-CA-94536/79539251_zpid/
"38891 Fremont Blvd Apt 5, Fremont, CA 94536",38891 Fremont Blvd APT 5,Fremont,CA,94536,768,"$2,350/mo",2 bds1 ba768 sqft,Apartment for rent,33 days ago,https://www.zillow.com/homedetails/38891-Fremont-Blvd-APT-5-Fremont-CA-94536/2090244220_zpid/
"39139 Argonaut Way Apt 210, Fremont, CA 94538",39139 Argonaut Way APT 210,Fremont,CA,94538,"1,280","$2,500/mo","1 bd1 ba1,280 sqft",Apartment for rent,33 days ago,https://www.zillow.com/homedetails/39139-Argonaut-Way-APT-210-Fremont-CA-94538/25009639_zpid/
"3643 Darwin Dr #3643, Fremont, CA 94555",3643 Darwin Dr #3643,Fremont,CA,94555,"1,900","$3,850/mo","5 bds4 ba1,900 sqft",Apartment for rent,33 days ago,https://www.zillow.com/homedetails/3643-Darwin-Dr-3643-Fremont-CA-94555/2077989124_zpid/
"39219 Guardino Dr Apt 261, Fremont, CA 94538",39219 Guardino Dr APT 261,Fremont,CA,94538,844,"$2,395/mo",2 bds1 ba844 sqft,Apartment for rent,3D Homes Icon3D Home,https://www.zillow.com/homedetails/39219-Guardino-Dr-APT-261-Fremont-CA-94538/64966509_zpid/
"43249 Gallegos Ave, Fremont, CA 94539",43249 Gallegos Ave,Fremont,CA,94539,"1,447","$3,000/mo","3 bds2 ba1,447 sqft",House for rent,34 days ago,https://www.zillow.com/homedetails/43249-Gallegos-Ave-Fremont-CA-94539/25022561_zpid/
"2199 Hunter Pl, Santa Clara, CA 95054",2199 Hunter Pl,Santa Clara,CA,95054,"1,796","$3,950/mo","4 bds2.5 ba1,796 sqft",House for rent,66 days ago,https://www.zillow.com/homedetails/2199-Hunter-Pl-Santa-Clara-CA-95054/19492008_zpid/
"272 Hayes Ave #a, Santa Clara, CA 95051",272 Hayes Ave #A,Santa Clara,CA,95051,"1,244","$2,900/mo","2 bds2 ba1,244 sqft",Apartment for rent,68 days ago,https://www.zillow.com/homedetails/272-Hayes-Ave-A-Santa-Clara-CA-95051/2086197420_zpid/
"2540 Robinson Ave #2yxeuq4r0, Santa Clara, CA 95051",2540 Robinson Ave #2YXEUQ4R0,Santa Clara,CA,95051,550,"$1,895+/mo",1 bd1 ba550 sqft,Apartment for rent,68 days ago,https://www.zillow.com/homedetails/2540-Robinson-Ave-2YXEUQ4R0-Santa-Clara-CA-95051/2078460923_zpid/
"560 Lincoln St, Santa Clara, CA 95050",560 Lincoln St,Santa Clara,CA,95050,650,"$2,000/mo",1 bd1 ba650 sqft,Apartment for rent,68 days ago,https://www.zillow.com/homedetails/560-Lincoln-St-Santa-Clara-CA-95050/2080574333_zpid/
"4240 Bassett St, Santa Clara, CA 95054",4240 Bassett St,Santa Clara,CA,95054,900,"$2,750/mo",2 bds2 ba900 sqft,House for rent,68 days ago,https://www.zillow.com/homedetails/4240-Bassett-St-Santa-Clara-CA-95054/19490480_zpid/
"660 Harvard Ave Apt 58, Santa Clara, CA 95051",660 Harvard Ave APT 58,Santa Clara,CA,95051,420,"$1,595/mo",Studio1 ba420 sqft,Apartment for rent,70 days ago,https://www.zillow.com/homedetails/660-Harvard-Ave-APT-58-Santa-Clara-CA-95051/2082786452_zpid/
"1437 Homestead Rd, Santa Clara, CA 95050",1437 Homestead Rd,Santa Clara,CA,95050,542,"$1,850/mo",Studio1 ba542 sqft,Apartment for rent,70 days ago,https://www.zillow.com/homedetails/1437-Homestead-Rd-Santa-Clara-CA-95050/2086071486_zpid/
"1630 Avina Cir Unit 3, Santa Clara, CA 95054",1630 Avina Cir UNIT 3,Santa Clara,CA,95054,"1,645","$3,650/mo","3 bds3 ba1,645 sqft",Townhouse for rent,73 days ago,https://www.zillow.com/homedetails/1630-Avina-Cir-UNIT-3-Santa-Clara-CA-95054/94701419_zpid/
"2062 Main St, Santa Clara, CA 95050",2062 Main St,Santa Clara,CA,95050,"4,210","$1,950/mo","1 bd1 ba4,210 sqft",Apartment for rent,73 days ago,https://www.zillow.com/homedetails/2062-Main-St-Santa-Clara-CA-95050/300331542_zpid/
"509 Saratoga Ave #8, Santa Clara, CA 95050",509 Saratoga Ave #8,Santa Clara,CA,95050,700,"$1,895/mo",1 bd1 ba700 sqft,Apartment for rent,74 days ago,https://www.zillow.com/homedetails/509-Saratoga-Ave-8-Santa-Clara-CA-95050/2078535913_zpid/
